      data,   fonte,     praca,          categoria,   preco
2023-02-08,  Emater,  Alegrete,          Leite (l),    2.40
2023-02-08,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-02-08,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-02-15,  Emater,  Alegrete,          Leite (l),    2.40
2023-02-15,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-02-15,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-02-22,  Emater,  Alegrete,          Leite (l),    2.40
2023-02-22,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-02-22,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-03-01,  Emater,  Alegrete,          Leite (l),    2.70
2023-03-01,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-03-01,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-03-08,  Emater,  Alegrete,          Leite (l),    2.70
2023-03-08,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-03-08,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-03-15,  Emater,  Alegrete,          Leite (l),    2.70
2023-03-15,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-03-15,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-03-22,  Emater,  Alegrete,          Leite (l),    2.70
2023-03-22,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-03-22,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-03-29,  Emater,  Alegrete,          Leite (l),    2.70
2023-03-29,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-03-29,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-04-05,  Emater,  Alegrete,          Leite (l),    2.70
2023-04-05,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-04-05,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-04-12,  Emater,  Alegrete,          Leite (l),    2.70
2023-04-12,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-04-12,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-04-19,  Emater,  Alegrete,          Leite (l),    2.70
2023-04-19,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-04-19,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-04-26,  Emater,  Alegrete,          Leite (l),    2.70
2023-04-26,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-04-26,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-05-03,  Emater,  Alegrete,          Leite (l),    2.70
2023-05-03,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-05-03,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-05-10,  Emater,  Alegrete,          Leite (l),    2.70
2023-05-10,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-05-10,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-05-24,  Emater,  Alegrete,          Leite (l),    2.70
2023-05-24,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-05-24,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-05-31,  Emater,  Alegrete,          Leite (l),    2.70
2023-05-31,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-05-31,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-06-07,  Emater,  Alegrete,          Leite (l),    2.70
2023-06-07,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-06-07,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-06-14,  Emater,  Alegrete,          Leite (l),    2.70
2023-06-14,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-06-14,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-06-21,  Emater,  Alegrete,          Leite (l),    2.70
2023-06-21,  Emater,  Alegrete,  Vaquilhona prenha,  8000.0
2023-06-21,  Emater,  Alegrete,       Vaca 1ª cria, 10000.0
2023-06-28,  Emater,  Alegrete,          Leite (l),    2.50
2023-06-28,  Emater,  Alegrete,  Vaquilhona prenha,  6000.0
2023-06-28,  Emater,  Alegrete,       Vaca 1ª cria,  8000.0
2023-07-05,  Emater,  Alegrete,          Leite (l),    2.50
2023-07-05,  Emater,  Alegrete,  Vaquilhona prenha,  6000.0
2023-07-05,  Emater,  Alegrete,       Vaca 1ª cria,  8000.0
2023-07-12,  Emater,  Alegrete,          Leite (l),    2.50
2023-07-12,  Emater,  Alegrete,  Vaquilhona prenha,  6000.0
2023-07-12,  Emater,  Alegrete,       Vaca 1ª cria,  8000.0
2023-07-19,  Emater,  Alegrete,          Leite (l),    2.50
2023-07-19,  Emater,  Alegrete,  Vaquilhona prenha,  6000.0
2023-07-19,  Emater,  Alegrete,       Vaca 1ª cria,  8000.0
2023-07-26,  Emater,  Alegrete,          Leite (l),    2.50
2023-07-26,  Emater,  Alegrete,  Vaquilhona prenha,  6000.0
2023-07-26,  Emater,  Alegrete,       Vaca 1ª cria,  8000.0
2023-08-02,  Emater,  Alegrete,          Leite (l),    2.50
2023-08-02,  Emater,  Alegrete,  Vaquilhona prenha,  6000.0
2023-08-02,  Emater,  Alegrete,       Vaca 1ª cria,  8000.0
2023-08-09,  Emater,  Alegrete,          Leite (l),    2.50
2023-08-09,  Emater,  Alegrete,  Vaquilhona prenha,  6000.0
2023-08-09,  Emater,  Alegrete,       Vaca 1ª cria,  8000.0
2023-08-16,  Emater,  Alegrete,          Leite (l),    2.20
2023-08-16,  Emater,  Alegrete,  Vaquilhona prenha,  5500.0
2023-08-16,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-08-23,  Emater,  Alegrete,          Leite (l),    2.20
2023-08-23,  Emater,  Alegrete,  Vaquilhona prenha,  5500.0
2023-08-23,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-08-30,  Emater,  Alegrete,          Leite (l),    2.20
2023-08-30,  Emater,  Alegrete,  Vaquilhona prenha,  5500.0
2023-08-30,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-09-09,  Emater,  Alegrete,          Leite (l),    2.20
2023-09-09,  Emater,  Alegrete,  Vaquilhona prenha,  5500.0
2023-09-09,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-09-13,  Emater,  Alegrete,          Leite (l),    2.20
2023-09-13,  Emater,  Alegrete,  Vaquilhona prenha,  5500.0
2023-09-13,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-09-21,  Emater,  Alegrete,          Leite (l),    2.20
2023-09-21,  Emater,  Alegrete,  Vaquilhona prenha,  5500.0
2023-09-21,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-09-27,  Emater,  Alegrete,          Leite (l),    2.20
2023-09-27,  Emater,  Alegrete,  Vaquilhona prenha,  5500.0
2023-09-27,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-10-04,  Emater,  Alegrete,          Leite (l),    2.20
2023-10-04,  Emater,  Alegrete,  Vaquilhona prenha,  5500.0
2023-10-04,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-10-18,  Emater,  Alegrete,          Leite (l),    2.05
2023-10-18,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-10-18,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-11-08,  Emater,  Alegrete,          Leite (l),    2.05
2023-11-08,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-11-08,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-11-15,  Emater,  Alegrete,          Leite (l),    2.05
2023-11-15,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-11-15,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-11-29,  Emater,  Alegrete,          Leite (l),    2.05
2023-11-29,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-11-29,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-12-06,  Emater,  Alegrete,          Leite (l),    2.05
2023-12-06,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-12-06,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-12-13,  Emater,  Alegrete,          Leite (l),    2.05
2023-12-13,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-12-13,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-12-20,  Emater,  Alegrete,          Leite (l),    2.05
2023-12-20,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-12-20,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-01-10,  Emater,  Alegrete,          Leite (l),    2.05
2024-01-10,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-01-10,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-01-17,  Emater,  Alegrete,          Leite (l),    2.05
2024-01-17,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-01-17,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-01-24,  Emater,  Alegrete,          Leite (l),    2.05
2024-01-24,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-01-24,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-01-31,  Emater,  Alegrete,          Leite (l),    2.05
2024-01-31,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-01-31,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-02-07,  Emater,  Alegrete,          Leite (l),    2.05
2024-02-07,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-02-07,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-02-14,  Emater,  Alegrete,          Leite (l),    2.05
2024-02-14,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-02-14,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-02-21,  Emater,  Alegrete,          Leite (l),    2.05
2024-02-21,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-02-21,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-03-06,  Emater,  Alegrete,          Leite (l),    2.05
2024-03-06,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-03-06,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-03-20,  Emater,  Alegrete,          Leite (l),    2.05
2024-03-20,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-03-20,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0