      data,   fonte,      praca, unidade,            la,  preco
2020-08-20,     SRA,   Alegrete, kg vivo,        Merino,  15.00
2020-08-20,     SRA,   Alegrete, kg vivo,         Ideal,  12.00
2020-08-20,     SRA,   Alegrete, kg vivo,    Corriedale,   7.50
2020-08-20,     SRA,   Alegrete, kg vivo,    Tipo carne,   3.00
2020-09-03,     SRA,   Alegrete, kg vivo,        Merino,  13.25
2020-09-03,     SRA,   Alegrete, kg vivo,         Ideal,  10.00
2020-09-03,     SRA,   Alegrete, kg vivo,    Corriedale,   6.25
2020-09-03,     SRA,   Alegrete, kg vivo,    Tipo carne,   3.10
2021-01-07,     SRA,   Alegrete, kg vivo,        Merino,  14.00
2021-01-07,     SRA,   Alegrete, kg vivo,         Ideal,  12.00
2021-01-07,     SRA,   Alegrete, kg vivo,    Corriedale,   6.00
2021-01-07,     SRA,   Alegrete, kg vivo,    Tipo carne,   2.00
2021-02-25,     SRA,   Alegrete, kg vivo,        Merino,  15.00
2021-02-25,     SRA,   Alegrete, kg vivo,         Ideal,  11.00
2021-02-25,     SRA,   Alegrete, kg vivo,    Corriedale,   6.00
2021-02-25,     SRA,   Alegrete, kg vivo,    Tipo carne,   2.00